id;codigo;denominacion;planificacion;tipo;region_codigo;region_nombre;comunas;comunas_codigos;clasificacion;estado;fechaInicioVigencia;fechaPublicacion;urlPublicacion;modificacionLimiteUrbano;evaluacionAmbientalEstrategica;fechaInicioEae;fechaTerminoEae;consultaIndigena;numeroDocumento;fechaInicioElaboracion;modificacionIntegral;instrumento_origen_id;es_modificacion;codigos_modificaciones;urls_documentos;tipos_documentos;nombres_documentos;fuente;createdAt;updatedAt
2347;1304285;Plan Regulador Comunal de Santiago;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;CERRILLOS;13102;Instrumento de origen;Vigente;1939-07-31;;;;;;;;Sin información;;False;2347;False;1300170, 1304106;;;;Planilla;2025-08-01T17:59:28.919-04:00;2025-08-01T17:59:28.919-04:00
2331;1304106;Plan Regulador Comunal de Cerrillos;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;CERRILLOS;13102;Modificación;En Desarrollo;;;;False;True;2021-09-30;2023-12-27;False;No aplica;2026-03-02;False;2347;True;;;;;Plataforma Web;2025-08-01T17:59:27.964-04:00;2026-03-02T10:42:02.528-03:00
1479;1300170;Asignación de normas urbanísticas sectores de los parques intercomunales;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;CERRILLOS;13102;Modificación;Vigente;2011-02-18;;;;;;;;202;;False;2347;True;1304106;https://instrumentosdeplanificacion.minvu.cl/files/maps/170/3A.202b11c.13.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/170/3A.202b11p1.13.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/170/3A.202b11p2.13.pdf;Publicación D. O. con Ordenanza | Plano | Plano;ASIGNA NORMAS URBANISTICAS PARA LOS SECTORES DE LOS PARQUES INTERCOMUNALES | Plano 1 Decreto N°202 que Asigna Normas Urbanísticas para los sectores de los Parques Intercomunales | Plano 2 Decreto N°202 que Asigna Normas Urbanísticas para los sectores de los Parques Intercomunales;Planilla;2025-08-01T17:58:24.623-04:00;2025-08-01T17:58:24.623-04:00
2358;1304296;Plan Regulador Comunal de Santiago;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Instrumento de origen;Vigente;1939-08-08;;;;;;;;Sin información;;False;2358;False;1300705, 1300631, 1300666, 1304113;;;;Planilla;2025-08-01T17:59:29.612-04:00;2025-08-01T17:59:29.612-04:00
2337;1304113;Plan Regulador Comunal de Estación Central;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;En Desarrollo;;;;;;;;;No aplica;;False;2358;True;;;;;Planilla;2025-08-01T17:59:28.364-04:00;2025-08-01T17:59:28.364-04:00
1987;1300705;Modificación N° 1 Alameda Poniente;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;Vigente;2014-01-30;;;;;;;;41;;False;2358;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/705/4.41b14b.13106.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/705/4.41b14p.13106.jpg;Publicación D. O. | Plano;Publicación D.O | Plano decreto N° 41;Planilla;2025-08-01T17:59:03.577-04:00;2025-08-01T17:59:03.577-04:00
2615;;Plan Regulador Comunal de Estación Central;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Instrumento de origen;Vigente;2025-07-15;;https://muniecentral.cl/wp/planregulador/;False;True;2020-01-31;2024-12-09;False;;;False;2358;True;;;;;Plataforma Web;2025-08-08T15:41:03.373-04:00;2025-08-08T15:41:03.373-04:00
1915;1300631;PRC de Santiago - Modif. Maestranza San Eugenio;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;Vigente;2017-01-04;;;;;;;;32;;False;2358;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/631/4.32b16c.13106.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/631/4.32b16p.13106.pdf;Publicación D. O. con Ordenanza | Plano;Publicación D.O y Ordenanza | Plano decreto N° 32;Planilla;2025-08-01T17:58:57.865-04:00;2025-08-01T17:58:57.865-04:00
1950;1300666;PRC de Santiago - Incorporación Sector ex Quinta Normal y Alameda Poniente;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;Vigente;2018-04-25;;;;;;;;366;;False;2358;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/666/4.366b18c.13106.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/666/4.366b18p.13106.pdf;Publicación D. O. con Ordenanza | Plano;Publicación D.O. y Ordenanza | Plano Decreto N°366 - Zonificación;Planilla;2025-08-01T17:59:00.677-04:00;2025-08-01T17:59:00.677-04:00
2554;1602844;Plano General de Edificación y Urbanización de Malalhue;Comunal;PRC;14;LOS RÍOS;LANCO;14103;Instrumento de origen;Vigente;1943-12-31;;;;;;;;2013;;False;2554;False;;https://instrumentosdeplanificacion.minvu.cl/files/maps/2844/4.2013a43c.14103.pdf;Publicación D. O. con Ordenanza;Publicación Diario Oficial de Decreto N°2013 que aprueba el Plano General de Edificación y Urbanización del pueblo de Malalhue;Planilla;2025-08-01T17:59:44.671-04:00;2025-08-01T17:59:44.671-04:00
